user_id,0,1,2,3,4,email_clicked
54576eeb-5b50-47d0-9174-4dccd4718e13,13,79,798,11,776,[]
5457a954-4a1c-4e5b-a578-4687d4718e13,4,206,64,191,311,[]
5457ae12-52d4-4125-9b79-4167d4718e13,75,707,867,557,402,[]
5458b5d3-2728-49fe-9f8a-473bd4718e13,84,345,60,83,177,[]
5458b9bc-fd84-482f-972e-4c07d4718e13,28,219,52,195,213,[]
545962f6-b414-4009-a639-4617d4718e13,526,84,88,97,147,[]
545b97ee-efb4-4f92-a831-45f1d4718e13,110,189,107,186,191,[]
545ccd72-7a8c-42d2-8556-4517d4718e13,43,707,867,461,179,[]
54621aa9-6280-4e1f-a94c-4226d4718e13,43,707,867,179,541,[]
5463a446-c6f4-416e-96ab-477ad4718e13,316,117,303,360,557,[]
5464c464-e688-428b-ad05-4b21d4718e13,146,215,242,277,689,[]
5464cbf7-7bec-4893-bbbe-4274d4718e13,108,136,152,93,609,[]
54656b6d-d1ec-42d0-b82a-4836d4718e13,90,89,107,109,122,[]
54662135-9404-44ca-9eab-4249d4718e13,93,327,403,714,113,[]
546640e7-b22c-4dfa-8734-a0e0d4718e13,64,88,101,654,521,[]
5469f03d-1dfc-4833-ad51-47abd4718e13,112,13,91,609,355,[]
546a571f-fcf4-4976-841a-41fcd4718e13,112,115,120,168,196,[]
546f8602-07c4-44b0-b7d6-44dfd4718e13,464,116,208,426,477,[]
5472ec9f-e948-41bc-8d67-455fd4718e13,134,22,67,108,118,[]
547c96e2-358c-4451-89b2-4ddbd4718e13,77,96,98,21,31,[]
547c9e9c-b19c-40a0-a0eb-4d58d4718e13,15,48,77,96,116,[]
547f45e5-9aa4-4052-9a57-4edfd4718e13,707,867,618,709,557,[]
547f53dd-cc84-4791-9ca2-414fd4718e13,73,96,98,116,197,[]
54c66a7a-2304-4d66-bc1f-4e1fd4718e13,516,499,36,108,168,[]
54c7a0b9-03bc-4151-ae6d-4e2dd4718e13,8,93,561,605,417,[]
54ca4244-2dd8-4cd6-9ce5-4e5bd4718e13,5,48,147,159,167,[]
54d0b3d8-c4e8-4441-8761-4649d4718e13,18,30,47,48,76,[]
54dcc56c-53f8-45fe-8b2d-0046ac11001f,84,142,21,151,161,[]
54e62c0f-18c8-4ed5-a676-0040ac110028,71,129,205,246,16,[]
54e7c7a9-93c4-46bd-b8a9-0040ac110028,707,867,541,709,557,[]
54eb054a-1a7c-492e-9ea7-0045ac110028,246,130,205,67,118,[]
54ecca6c-56f0-4f10-aea2-0046ac110028,129,246,69,130,218,[]
54ee01f3-feb4-4751-b34b-0047ac110028,494,627,39,115,221,[]
54eefcf9-a974-4885-8b68-0046ac110028,45,707,867,557,709,[]
54ef0adc-4618-488b-902f-0046ac110028,151,173,557,709,378,[]
54f59741-bc64-4e9b-bd3d-003cac11002b,83,119,557,709,378,[]
54fdae6d-e2c4-4ac2-ab1e-003dac11002b,27,371,307,357,707,[]
5502f6ce-f0e0-43b9-b4ed-0045ac11002b,161,707,867,557,709,[]
55071297-648c-4e6e-ad38-0041ac11002e,140,557,798,776,707,[]
55073fa7-861c-44c6-9891-003cac11002e,707,867,402,252,541,[]
55096f17-47f4-425b-98aa-0044ac11002e,172,153,171,183,268,[]
550b01f2-e498-4448-8de7-0052ac11002e,143,537,707,867,879,[]
550b26ba-3d48-4531-a3f2-0052ac11002e,148,157,189,82,102,[]
550c0193-01b0-4114-95c1-0051ac11002e,219,707,867,557,461,[]
55141bb8-bb2c-445e-a1dd-0053ac11002e,104,707,867,153,557,[]
5518477d-c7bc-4444-a1d9-005aac11002e,75,188,235,280,707,[]
551913c2-b9b0-401b-a120-005aac11002e,440,707,867,557,709,[]
551bef20-e4b0-4b2e-baf0-0056ac11002e,62,707,867,557,709,[]
5522cd8e-6c1c-4787-9c77-0027ac11002d,341,111,151,168,177,[]
55253832-6e68-47ec-ac2f-0027ac11002d,749,44,178,206,301,[]
552633ed-a650-41b0-9df2-0027ac11002d,302,220,251,330,17,[]
552bed22-e1a8-4ea7-a330-0034ac110034,329,707,867,557,225,[]
552e639e-18e4-4627-9f6b-0037ac110034,189,302,161,177,179,[]
552f98fd-232c-4886-8f7d-0035ac110033,187,196,486,609,312,[]
55312695-2fbc-4f67-9d51-003eac110034,72,39,42,95,223,[]
55351a4f-b0f8-4ca0-8006-003fac110033,209,17,39,161,195,[]
553754bc-c850-4c37-a820-003dac110034,233,75,170,214,859,[]
553f7cb8-9f9c-4a3a-820e-0041ac110033,175,707,867,557,609,[]
55403c16-5210-4a19-821e-0042ac110033,166,178,238,23,225,[]
55422a5a-c3dc-4c1c-9f45-0028ac110040,175,186,310,609,698,[]
55424b92-8144-42e3-b5d0-0028ac110040,72,176,213,311,798,[]
554250e9-9aac-4cce-b73c-0037ac110040,186,201,205,482,798,[]
554890c1-aa24-44b9-b450-003aac11000d,53,31,95,115,179,[]
554a3a8f-1f64-44b6-b334-0027ac11006f,107,54,142,31,152,[]
