user_id,0,1,2,3,4,emailed
5502f6ce-f0e0-43b9-b4ed-0045ac11002b,682,3,705,502,118,[]
55071297-648c-4e6e-ad38-0041ac11002e,111,3,186,336,133,[]
55073fa7-861c-44c6-9891-003cac11002e,252,247,138,189,83,[]
55096f17-47f4-425b-98aa-0044ac11002e,682,40,480,195,148,[]
550b01f2-e498-4448-8de7-0052ac11002e,252,247,138,189,83,[]
550b26ba-3d48-4531-a3f2-0052ac11002e,336,480,271,330,506,[]
550c0193-01b0-4114-95c1-0051ac11002e,201,3,336,83,337,[]
55141bb8-bb2c-445e-a1dd-0053ac11002e,195,116,338,47,110,[]
5518477d-c7bc-4444-a1d9-005aac11002e,8,421,682,187,247,[]
551913c2-b9b0-401b-a120-005aac11002e,3,177,321,507,29,[]
551bef20-e4b0-4b2e-baf0-0056ac11002e,40,81,83,286,457,[]
5522cd8e-6c1c-4787-9c77-0027ac11002d,598,336,480,148,133,[]
55253832-6e68-47ec-ac2f-0027ac11002d,567,40,669,336,148,[]
552633ed-a650-41b0-9df2-0027ac11002d,336,3,567,43,535,[]
552bed22-e1a8-4ea7-a330-0034ac110034,567,3,177,42,356,[]
552e639e-18e4-4627-9f6b-0037ac110034,567,705,165,336,421,[]
552f98fd-232c-4886-8f7d-0035ac110033,3,186,336,421,177,[]
55312695-2fbc-4f67-9d51-003eac110034,598,40,41,336,186,[]
55351a4f-b0f8-4ca0-8006-003fac110033,547,567,705,186,682,[]
553754bc-c850-4c37-a820-003dac110034,519,301,457,560,553,[]
553f7cb8-9f9c-4a3a-820e-0041ac110033,3,187,177,326,135,[]
55403c16-5210-4a19-821e-0042ac110033,40,336,480,81,507,[]
55422a5a-c3dc-4c1c-9f45-0028ac110040,3,336,187,511,351,[]
55424b92-8144-42e3-b5d0-0028ac110040,3,336,403,340,110,[]
554250e9-9aac-4cce-b73c-0037ac110040,8,336,622,186,516,[]
554890c1-aa24-44b9-b450-003aac11000d,682,567,522,336,3,[]
554a3a8f-1f64-44b6-b334-0027ac11006f,547,567,40,336,41,[]
554b52c4-446c-4a81-80c0-0033ac11003d,547,567,42,271,356,[]
5551af6a-cc40-442d-9b49-0045ac110049,547,567,356,369,507,[]
55520326-2134-46dc-8029-0045ac110049,9,360,206,247,135,[]
55545fa0-19e8-4b41-950b-0045ac110049,567,3,336,186,271,[]
55547f07-a1c4-47f9-8acc-0041ac110019,336,486,42,3,151,[]
555992a9-c144-4403-9fa6-0043ac110019,547,567,669,120,148,[]
5559d549-e818-435f-a7b7-0043ac110019,682,509,186,336,508,[]
5559f806-0ffc-4d43-83e8-0042ac110019,567,40,598,480,472,[]
5559fb40-f394-40cd-874c-0047ac110049,682,40,81,457,286,[]
555a00df-3c0c-49a4-9e47-0047ac110049,201,3,116,336,526,[]
555b04c2-cfe0-48b1-b934-0047ac110049,682,547,567,40,669,[]
555c40cc-3de8-4bfb-b2ea-004fac110019,3,526,285,228,186,[]
555cb469-fda0-4d59-bcf1-0050ac110019,567,3,547,758,243,[]
555da685-bcac-487e-8248-0052ac110019,480,522,336,761,186,[]
555db73d-eedc-43a3-a2cb-0050ac110019,40,480,319,195,165,[]
555dbdfd-a928-44f5-8bda-0051ac110049,682,133,514,120,553,[]
555e4e98-1cb4-43e4-9713-0051ac110019,165,135,351,187,164,[]
5563153d-dddc-43f8-b00e-0051ac110049,186,336,480,330,271,[]
55632d5a-39e8-4e13-9a6e-004fac110049,186,336,480,400,330,[]
55646e62-2aa4-4c6f-bb75-004fac110049,272,120,706,81,3,[]
5564a4a1-50ac-46be-aaf2-0050ac110049,3,336,8,272,186,[]
5565da73-7b74-429b-9d49-0053ac110019,449,319,706,60,761,[]
556d7542-9708-4674-9fe2-0053ac110049,567,3,336,186,517,[]
55700965-f338-42d5-bc09-005aac110019,319,240,706,156,276,[]
55701889-7bdc-41c8-95fe-0056ac110049,519,40,336,376,165,[]
55706397-87b0-42c6-8e86-0056ac110049,682,40,336,480,400,[]
5571f84b-f43c-4c01-9334-005bac110019,40,669,336,480,148,[]
5577dfe1-8568-4be9-95f1-0056ac110049,3,567,336,29,271,[]
557ebdba-f440-49f8-80f1-005dac110019,682,3,370,186,567,[]
55804b7c-63f0-479c-877e-005bac110019,508,509,40,480,81,[]
5582db0c-4744-4c2f-9782-005cac110019,40,81,472,52,271,[]
55883f38-8fd8-4e9f-8675-0057ac110049,319,187,84,345,281,[]
5588d565-4d80-462f-95e7-005bac110019,40,60,509,336,508,[]
55893d77-17a0-4f22-b08f-005bac110019,186,336,590,369,84,[]
558a2f86-cd80-4941-a34d-005bac110019,336,480,217,165,148,[]
558abd31-7044-43b7-bfce-0057ac110049,111,766,3,133,120,[]
558c20bb-24ec-41e3-a4c9-0058ac110049,319,187,84,345,281,[]
558cccbd-3660-4d14-9984-0058ac110049,682,9,3,177,183,[]
55914d88-1420-4868-b72c-0059ac110049,457,472,505,383,587,[]
55955393-b180-488d-971c-0038ac110055,40,3,705,567,177,[]
559aeea4-8f04-4207-9a09-003bac110055,40,336,480,165,83,[]
559d699f-617c-45f9-8f5c-0031ac11002b,3,336,186,120,280,[]
559f8999-7810-4495-9f7f-0033ac11002b,567,547,40,336,41,[]
559f9f11-7978-4104-88fb-0031ac11002b,21,81,252,247,301,[]
55a13623-fe98-4756-8e01-0028ac11000d,598,174,165,40,336,[]
55a37d06-fcac-41b7-b6e3-0032ac11002b,567,3,336,547,421,[]
55a4fa2c-0c00-41da-bc00-0031ac11002b,186,60,168,227,208,[]
55a5845a-c4a4-4aa4-a204-0027ac11000d,3,186,336,81,301,[]
55a63566-58cc-4d64-9ed8-0033ac11002b,40,3,669,336,41,[]
55a658dd-49b4-4c6b-8162-0032ac11002b,336,120,370,148,546,[]
55a67d38-fda0-4425-9baa-0033ac11002b,3,245,177,206,135,[]
55a8ec4b-1938-4308-b985-0037ac110013,705,336,3,285,682,[]
55ae2def-1aa0-41b3-9c0e-0035ac110013,547,567,3,336,421,[]
