,emailed,unemailed
55804b7c-63f0-479c-877e-005bac110019,[],"[116, 628, 48, 544, 766]"
5582db0c-4744-4c2f-9782-005cac110019,[],"[544, 823, 103, 528, 552]"
55883f38-8fd8-4e9f-8675-0057ac110049,[],"[346, 128, 56, 18, 511]"
5588d565-4d80-462f-95e7-005bac110019,[],"[477, 100, 19, 101, 509]"
55893d77-17a0-4f22-b08f-005bac110019,[],"[548, 93, 703, 603, 854]"
558a2f86-cd80-4941-a34d-005bac110019,[],"[690, 263, 442, 99, 528]"
558abd31-7044-43b7-bfce-0057ac110049,[],"[66, 462, 2, 3, 4]"
558bc3a1-2d1c-451c-9635-0059ac110049,[],"[236, 197, 255, 235, 66]"
558c20bb-24ec-41e3-a4c9-0058ac110049,[],"[237, 672, 130, 412, 605]"
558cccbd-3660-4d14-9984-0058ac110049,[],"[546, 831, 233, 545, 63]"
55914d88-1420-4868-b72c-0059ac110049,[],"[32, 631, 89, 270, 632]"
55955393-b180-488d-971c-0038ac110055,[],"[186, 75, 707, 74, 233]"
559a7a2c-bd0c-4220-822f-0039ac110025,[],"[186, 75, 707, 74, 233]"
559aeea4-8f04-4207-9a09-003bac110055,[],"[238, 266, 59, 888, 116]"
559d699f-617c-45f9-8f5c-0031ac11002b,[],"[335, 24, 117, 143, 461]"
559f8999-7810-4495-9f7f-0033ac11002b,[],"[714, 601, 312, 307, 351]"
559f9f11-7978-4104-88fb-0031ac11002b,[],"[135, 139, 696, 181, 511]"
55a13623-fe98-4756-8e01-0028ac11000d,[],"[19, 544, 823, 157, 831]"
55a37d06-fcac-41b7-b6e3-0032ac11002b,[],"[190, 819, 439, 489, 534]"
55a4fa2c-0c00-41da-bc00-0031ac11002b,[],"[216, 95, 431, 262, 438]"
55a5845a-c4a4-4aa4-a204-0027ac11000d,[],"[177, 17, 701, 854, 121]"
55a63566-58cc-4d64-9ed8-0033ac11002b,[],"[663, 139, 257, 689, 86]"
55a658dd-49b4-4c6b-8162-0032ac11002b,[],"[341, 537, 89, 177, 501]"
55a67d38-fda0-4425-9baa-0033ac11002b,[],"[663, 139, 257, 689, 86]"
55a8ec4b-1938-4308-b985-0037ac110013,[],"[144, 117, 824, 200, 778]"
55ad6e31-cf58-4754-b9e1-0038ac110013,[],"[831, 551, 117, 143, 461]"
55ae2def-1aa0-41b3-9c0e-0035ac110013,[],"[94, 188, 700, 2, 3]"
55ae5334-4108-4a17-a6e3-0039ac110013,[],"[58, 719, 630, 122, 110]"
55aea399-da60-4cf6-98e0-0036ac110013,[],"[763, 780, 537, 374, 591]"
55b0cfaf-69a8-4147-ab8e-0048ac110013,[],"[700, 72, 748, 134, 136]"
55b0d407-68a8-4305-bdfe-0043ac110013,[],"[701, 787, 121, 204, 624]"
55b78dc7-1090-4078-986e-0028ac110019,[],"[888, 675, 719, 630, 585]"
55b8f420-5538-47a7-8e48-0027ac110019,[],"[190, 778, 603, 698, 784]"
55bf2016-9374-41fa-aaca-003eac11000d,[],"[190, 129, 280, 776, 87]"
55c0f881-75e4-465f-9ccc-0045ac110019,[],"[78, 482, 576, 46, 56]"
55c35b4f-4370-427a-abf6-0043ac110019,[],"[116, 628, 48, 544, 766]"
55c88c02-d314-4493-877a-0044ac110019,[],"[78, 482, 576, 46, 56]"
55c9b834-5248-4804-a12b-0027ac11000d,[],"[888, 675, 719, 630, 585]"
55ca2834-c52c-48e9-a925-0046ac11000d,[],"[528, 167, 726, 157, 573]"
55cb3239-fa88-423e-a9fc-003aac11000d,[],"[186, 75, 707, 74, 233]"
55cc73f4-ff08-4565-909d-0047ac11000d,[],"[528, 866, 99, 114, 159]"
55cdd80a-a908-425d-9d96-0047ac11000d,[],"[94, 648, 550, 273, 473]"
55cfee09-99c8-4f85-ac97-0047ac11000d,[],"[421, 855, 543, 430, 599]"
55d1b7d4-6a60-4c78-913c-0041ac11000d,[],"[819, 312, 190, 603, 439]"
55d1edcc-2be8-428f-a21f-0042ac11000d,[],"[120, 133, 139, 611, 108]"
55d2cc71-3798-4785-ab51-0047ac11000d,[],"[190, 819, 439, 489, 534]"
55ddf10a-5934-4c38-b246-0052ac11000d,[],"[194, 513, 278, 754, 786]"
55e05586-105c-4b30-9b96-0055ac11000d,[],"[31, 731, 274, 166, 701]"
